HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Getafe,Granada,4,2,12,7,1,1,0,0,0
Celta,Osasuna,2,0,5,9,2,0,0,0,0
Valencia,Sevilla,1,1,10,12,1,1,0,0,0
Betis,Alaves,4,0,18,9,3,0,0,0,0
Cadiz,Espanol,2,2,10,14,0,1,0,0,0
Elche,Villarreal,1,0,5,9,0,0,0,0,0
Espanol,Elche,1,2,8,3,1,2,0,0,0
Vallecano,Betis,1,1,17,9,0,1,0,0,0
Sevilla,Getafe,1,0,10,4,1,0,0,0,0
Alaves,Ath Bilbao,0,0,12,10,0,0,0,0,0
Osasuna,Cadiz,2,0,15,6,1,0,0,0,0
Villarreal,Ath Madrid,2,2,13,7,1,1,0,0,0
Levante,Mallorca,2,0,16,15,0,0,0,0,0
Sociedad,Celta,1,0,12,4,1,0,0,0,0
Granada,Barcelona,1,1,14,13,0,0,0,0,0
Real Madrid,Valencia,4,1,23,12,1,0,0,0,0
Villarreal,Levante,5,0,17,7,3,0,0,0,0
Osasuna,Ath Bilbao,1,3,15,17,1,2,0,0,0
Cadiz,Sevilla,0,1,9,14,0,0,0,0,0
Getafe,Real Madrid,1,0,6,14,1,0,0,0,0
Ath Madrid,Vallecano,2,0,15,5,1,0,0,0,0
Elche,Granada,0,0,18,10,0,0,0,0,0
Alaves,Sociedad,1,1,19,10,0,1,0,0,0
Betis,Celta,0,2,18,7,0,2,0,0,0
Mallorca,Barcelona,0,1,13,13,0,1,0,0,0
Valencia,Espanol,1,2,12,15,0,0,0,0,0
Granada,Ath Madrid,2,1,6,15,1,1,0,0,0
Ath Bilbao,Real Madrid,1,2,15,12,1,2,0,0,0
Villarreal,Alaves,5,2,24,4,2,1,0,0,0
Sevilla,Barcelona,1,1,5,23,1,1,0,0,0
Levante,Valencia,3,4,15,15,2,1,0,0,0
Granada,Mallorca,4,1,15,8,1,1,0,0,0
Ath Bilbao,Betis,3,2,9,16,1,1,0,0,0
Getafe,Osasuna,1,0,18,11,0,0,0,0,0
Real Madrid,Cadiz,0,0,36,4,0,0,0,0,0
Vallecano,Alaves,2,0,20,6,2,0,0,0,0
Sociedad,Villarreal,1,3,8,15,1,1,0,0,0
Barcelona,Elche,3,2,19,5,2,0,0,0,0
Sevilla,Ath Madrid,2,1,6,15,1,1,0,0,0
Celta,Espanol,3,1,12,6,1,0,0,0,0
Cadiz,Granada,1,1,13,16,1,0,0,0,0
Villarreal,Vallecano,2,0,13,19,2,0,0,0,0
Osasuna,Barcelona,2,2,8,10,1,1,0,0,0
Betis,Sociedad,4,0,11,15,1,0,0,0,0
Real Madrid,Ath Madrid,2,0,7,9,1,0,0,0,0
Espanol,Levante,4,3,17,14,1,2,0,0,0
Alaves,Getafe,1,1,9,11,0,1,0,0,0
Valencia,Elche,2,1,21,8,1,0,0,0,0
Ath Bilbao,Sevilla,0,1,13,6,0,1,0,0,0
Mallorca,Celta,0,0,12,14,0,0,0,0,0
Getafe,Ath Bilbao,0,0,17,9,0,0,0,0,0
Vallecano,Espanol,1,0,7,10,0,0,0,0,0
Elche,Cadiz,3,1,8,15,1,0,0,0,0
Levante,Osasuna,0,0,11,11,0,0,0,0,0
Celta,Valencia,1,2,11,8,1,1,0,0,0
Sevilla,Villarreal,1,0,8,16,1,0,0,0,0
Barcelona,Betis,0,1,12,8,0,0,0,0,0
Ath Madrid,Mallorca,1,2,14,10,0,0,0,0,0
Sociedad,Real Madrid,0,2,11,13,0,0,0,0,0
Granada,Alaves,2,1,9,14,1,0,0,0,0
Real Madrid,Ath Bilbao,1,0,17,18,1,0,0,0,0
Osasuna,Elche,1,1,17,10,1,1,0,0,0
Betis,Levante,3,1,26,8,0,1,0,0,0
Espanol,Sociedad,1,0,8,10,0,0,0,0,0
Cadiz,Ath Madrid,1,4,8,17,0,0,0,0,0
Real Madrid,Sevilla,2,1,14,11,1,1,0,0,0
Alaves,Celta,1,2,13,8,1,1,0,0,0
Valencia,Vallecano,1,1,8,12,1,0,0,0,0
Mallorca,Getafe,0,0,12,11,0,0,0,0,0
Villarreal,Barcelona,1,3,14,12,0,0,0,0,0
Ath Bilbao,Granada,2,2,17,8,1,2,0,0,0
Vallecano,Mallorca,3,1,15,11,2,0,0,0,0
Getafe,Cadiz,4,0,17,10,1,0,0,0,0
Granada,Real Madrid,1,4,11,21,1,2,0,0,0
Elche,Betis,0,3,14,9,0,3,0,0,0
Sociedad,Valencia,0,0,9,8,0,0,0,0,0
Celta,Villarreal,1,1,12,18,0,1,0,0,0
Sevilla,Alaves,2,2,16,8,1,2,0,0,0
Ath Madrid,Osasuna,1,0,15,9,0,0,0,0,0
Barcelona,Espanol,1,0,16,12,0,0,0,0,0
Levante,Ath Bilbao,0,0,15,7,0,0,0,0,0
Villarreal,Getafe,1,0,10,5,1,0,0,0,0
Valencia,Ath Madrid,3,3,11,13,0,1,0,0,0
Mallorca,Elche,2,2,18,7,0,0,0,0,0
Osasuna,Sociedad,0,2,6,9,0,0,0,0,0
Betis,Sevilla,0,2,8,11,0,0,0,0,0
Espanol,Granada,2,0,17,18,2,0,0,0,0
Celta,Barcelona,3,3,18,10,0,3,0,0,0
Alaves,Levante,2,1,10,12,0,1,0,0,0
Real Madrid,Vallecano,2,1,15,19,2,0,0,0,0
Ath Bilbao,Cadiz,0,1,15,8,0,1,0,0,0
Vallecano,Celta,0,0,11,10,0,0,0,0,0
Levante,Granada,0,3,12,12,0,2,0,0,0
Cadiz,Mallorca,1,1,13,11,0,1,0,0,0
Ath Madrid,Betis,3,0,18,8,1,0,0,0,0
