HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Napoli,Milan,0,1,9,12,0,0,0,0,0
Udinese,Sampdoria,2,1,19,8,2,1,0,0,0
Roma,Atalanta,1,0,13,7,1,0,0,0,0
Cagliari,Lazio,0,3,16,13,0,2,0,0,0
Inter,Salernitana,5,0,23,11,2,0,0,0,0
Atalanta,Sampdoria,4,0,19,6,2,0,0,0,0
Torino,Cagliari,1,2,15,11,0,1,0,0,0
Verona,Venezia,3,1,19,9,0,0,0,0,0
Spezia,Roma,0,1,9,31,0,0,0,0,0
Lazio,Napoli,1,2,13,15,0,0,0,0,0
Salernitana,Bologna,1,1,15,8,0,1,0,0,0
Empoli,Juventus,2,3,11,12,1,2,0,0,0
Sassuolo,Fiorentina,2,1,16,15,1,0,0,0,0
Milan,Udinese,1,1,9,11,1,0,0,0,0
Genoa,Inter,0,0,7,21,0,0,0,0,0
Cagliari,Napoli,1,1,13,7,0,0,0,0,0
Bologna,Spezia,2,1,19,6,1,1,0,0,0
Fiorentina,Atalanta,1,0,6,7,0,0,0,0,0
Venezia,Genoa,1,1,15,12,1,1,0,0,0
Inter,Sassuolo,0,2,29,13,0,2,0,0,0
Udinese,Lazio,1,1,12,10,1,1,0,0,0
Sampdoria,Empoli,2,0,8,10,2,0,0,0,0
Roma,Verona,2,2,7,5,0,2,0,0,0
Salernitana,Milan,2,2,9,14,1,1,0,0,0
Juventus,Torino,1,1,11,10,1,0,0,0,0
Spezia,Fiorentina,1,2,9,21,0,1,0,0,0
Milan,Sampdoria,1,0,15,4,1,0,0,0,0
Empoli,Cagliari,1,1,13,17,1,0,0,0,0
Genoa,Salernitana,1,1,15,12,1,1,0,0,0
Verona,Udinese,4,0,6,21,2,0,0,0,0
Sassuolo,Roma,2,2,12,12,0,1,0,0,0
Atalanta,Juventus,1,1,21,15,0,0,0,0,0
Lazio,Bologna,3,0,12,11,1,0,0,0,0
Napoli,Inter,1,1,13,8,1,0,0,0,0
Torino,Venezia,1,2,14,5,1,1,0,0,0
Salernitana,Spezia,2,2,9,13,2,2,0,0,0
Atalanta,Cagliari,1,2,10,7,0,0,0,0,0
Bologna,Empoli,0,0,12,15,0,0,0,0,0
Sampdoria,Sassuolo,4,0,11,26,2,0,0,0,0
Venezia,Napoli,0,2,7,16,0,0,0,0,0
Udinese,Torino,2,0,11,5,0,0,0,0,0
Juventus,Verona,2,0,11,13,1,0,0,0,0
Roma,Genoa,0,0,23,10,0,0,0,0,0
Inter,Milan,1,2,11,10,1,0,0,0,0
Fiorentina,Lazio,0,3,9,12,0,0,0,0,0
Cagliari,Fiorentina,1,1,12,16,0,0,0,0,0
Napoli,Salernitana,4,1,26,1,2,1,0,0,0
Spezia,Sampdoria,1,0,7,8,0,0,0,0,0
Torino,Sassuolo,1,1,21,6,1,0,0,0,0
Empoli,Roma,2,4,16,16,0,4,0,0,0
Milan,Juventus,0,0,14,8,0,0,0,0,0
Genoa,Udinese,0,0,10,2,0,0,0,0,0
Inter,Venezia,2,1,24,3,1,1,0,0,0
Lazio,Atalanta,0,0,9,6,0,0,0,0,0
Verona,Bologna,2,1,14,8,1,1,0,0,0
Bologna,Napoli,0,2,12,14,0,1,0,0,0
Milan,Spezia,1,2,25,10,1,0,0,0,0
Fiorentina,Genoa,6,0,22,3,3,0,0,0,0
Sassuolo,Verona,2,4,13,21,0,2,0,0,0
Venezia,Empoli,1,1,14,17,0,1,0,0,0
Roma,Cagliari,1,0,15,8,1,0,0,0,0
Atalanta,Inter,0,0,12,11,0,0,0,0,0
Sampdoria,Torino,1,2,11,20,1,1,0,0,0
Salernitana,Lazio,0,3,6,15,0,2,0,0,0
Juventus,Udinese,2,0,14,16,1,0,0,0,0
Cagliari,Bologna,2,1,13,9,0,0,0,0,0
Torino,Fiorentina,4,0,9,10,3,0,0,0,0
Empoli,Sassuolo,1,5,15,25,1,2,0,0,0
Venezia,Milan,0,3,9,18,0,1,0,0,0
Napoli,Sampdoria,1,0,22,10,1,0,0,0,0
Udinese,Atalanta,2,6,8,21,0,3,0,0,0
Genoa,Spezia,0,1,15,17,0,1,0,0,0
Roma,Juventus,3,4,19,14,1,1,0,0,0
Inter,Lazio,2,1,17,5,1,1,0,0,0
Verona,Salernitana,1,2,24,9,0,1,0,0,0
Sampdoria,Cagliari,1,2,4,15,1,0,0,0,0
Lazio,Empoli,3,3,23,11,1,2,0,0,0
Spezia,Verona,1,2,9,22,0,0,0,0,0
Sassuolo,Genoa,1,1,28,4,0,1,0,0,0
Milan,Roma,3,1,19,11,2,1,0,0,0
Juventus,Napoli,1,1,22,16,0,1,0,0,0
Sassuolo,Bologna,0,3,13,9,0,2,0,0,0
Venezia,Lazio,1,3,11,7,1,1,0,0,0
Inter,Torino,1,0,14,12,1,0,0,0,0
Roma,Sampdoria,1,1,15,10,0,0,0,0,0
Verona,Fiorentina,1,1,7,11,1,0,0,0,0
Empoli,Milan,2,4,16,18,1,2,0,0,0
Napoli,Spezia,0,1,25,8,0,1,0,0,0
Genoa,Atalanta,0,0,1,17,0,0,0,0,0
Juventus,Cagliari,2,0,15,6,1,0,0,0,0
Fiorentina,Sassuolo,2,2,23,8,0,2,0,0,0
Spezia,Empoli,1,1,9,22,0,0,0,0,0
Sampdoria,Venezia,1,1,18,12,1,0,0,0,0
Torino,Verona,1,0,8,8,1,0,0,0,0
Milan,Napoli,0,1,12,11,0,1,0,0,0
Atalanta,Roma,1,4,17,8,1,2,0,0,0
Bologna,Juventus,0,2,11,11,0,1,0,0,0
Cagliari,Udinese,0,4,5,10,0,2,0,0,0
Lazio,Genoa,3,1,11,4,1,0,0,0,0
Salernitana,Inter,0,5,10,23,0,2,0,0,0
Roma,Spezia,2,0,12,8,1,0,0,0,0
Torino,Bologna,2,1,16,8,1,0,0,0,0
Verona,Atalanta,1,2,19,14,1,1,0,0,0
Napoli,Empoli,0,1,30,12,0,0,0,0,0
Sassuolo,Lazio,2,1,17,6,0,1,0,0,0
Inter,Cagliari,4,0,24,5,1,0,0,0,0
Fiorentina,Salernitana,4,0,17,11,1,0,0,0,0
Venezia,Juventus,1,1,13,20,0,1,0,0,0
Udinese,Milan,1,1,11,12,1,0,0,0,0
Genoa,Sampdoria,1,3,12,14,0,1,0,0,0
Empoli,Udinese,3,1,22,19,0,1,0,0,0
Cagliari,Torino,1,1,15,8,0,1,0,0,0
Bologna,Fiorentina,2,3,8,6,1,1,0,0,0
Spezia,Sassuolo,2,2,9,20,1,0,0,0,0
Venezia,Verona,3,4,9,16,3,0,0,0,0
Sampdoria,Lazio,1,3,18,6,0,3,0,0,0
Juventus,Genoa,2,0,27,0,1,0,0,0,0
