HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Lorient,Reims,1,2,20,12,1,1,0,0,0
Monaco,Angers,2,0,15,11,1,0,0,0,0
Montpellier,Metz,2,2,18,17,0,1,0,0,0
Bordeaux,Nice,0,1,5,14,0,0,0,0,0
Marseille,Lyon,0,3,9,12,0,0,0,0,0
Lens,Nantes,2,2,20,13,0,2,0,0,0
Rennes,St Etienne,2,0,13,8,1,0,0,0,0
Strasbourg,Paris SG,3,3,14,14,1,1,0,0,0
Rennes,Lorient,5,0,10,12,2,0,0,0,0
Clermont,Angers,2,2,12,9,0,2,0,0,0
Metz,Brest,0,1,10,16,0,1,0,0,0
Nantes,Bordeaux,5,3,15,20,0,2,0,0,0
Nice,Troyes,1,0,18,9,0,0,0,0,0
Lille,Strasbourg,1,0,11,11,0,0,0,0,0
Reims,Marseille,0,1,10,14,0,0,0,0,0
Lyon,Montpellier,5,2,27,11,2,2,0,0,0
St Etienne,Monaco,1,4,8,12,1,2,0,0,0
Paris SG,Lens,1,1,18,8,0,0,0,0,0
Bordeaux,St Etienne,2,2,11,9,2,1,0,0,0
Lorient,Metz,1,0,15,20,0,0,0,0,0
Monaco,Nice,1,0,17,15,1,0,0,0,0
Reims,Lille,2,1,10,20,1,0,0,0,0
Troyes,Clermont,0,1,16,3,0,0,0,0,0
Angers,Paris SG,0,3,8,15,0,2,0,0,0
Brest,Lyon,2,1,9,18,1,0,0,0,0
Lens,Montpellier,2,0,12,9,1,0,0,0,0
Marseille,Nantes,3,2,19,4,1,2,0,0,0
Strasbourg,Rennes,2,1,13,10,1,0,0,0,0
Nice,Lorient,2,1,15,6,0,0,0,0,0
Metz,Clermont,1,1,4,26,1,1,0,0,0
Montpellier,Reims,0,0,14,15,0,0,0,0,0
Nantes,Angers,1,1,24,10,0,1,0,0,0
Troyes,Strasbourg,1,1,11,12,0,0,0,0,0
Lyon,Bordeaux,6,1,15,17,3,0,0,0,0
Paris SG,Marseille,2,1,7,3,2,1,0,0,0
St Etienne,Brest,2,1,11,7,2,1,0,0,0
Lille,Lens,1,2,17,11,1,2,0,0,0
Rennes,Monaco,2,3,13,12,1,1,0,0,0
Bordeaux,Metz,3,1,12,9,0,1,0,0,0
Angers,Lille,1,1,13,17,0,0,0,0,0
Brest,Nantes,1,1,12,12,0,1,0,0,0
Monaco,Troyes,2,1,11,8,1,1,0,0,0
Lens,Nice,3,0,6,16,0,0,0,0,0
Strasbourg,Lyon,1,1,15,13,1,0,0,0,0
Marseille,Montpellier,2,0,11,6,2,0,0,0,0
Reims,Rennes,2,3,15,14,0,2,0,0,0
Clermont,Paris SG,1,6,10,17,1,2,0,0,0
Lorient,St Etienne,6,2,18,13,2,2,0,0,0
Strasbourg,Lens,1,0,13,13,0,0,0,0,0
Clermont,Nantes,2,3,12,9,0,1,0,0,0
Metz,Monaco,1,2,17,14,0,0,0,0,0
Montpellier,Brest,1,2,9,12,0,0,0,0,0
St Etienne,Marseille,2,4,5,15,1,1,0,0,0
Troyes,Reims,1,0,19,10,0,0,0,0,0
Lyon,Angers,3,2,15,7,1,0,0,0,0
Paris SG,Lorient,5,1,15,11,2,0,0,0,0
Nice,Rennes,1,1,10,13,0,0,0,0,0
Lille,Bordeaux,0,0,22,2,0,0,0,0,0
Monaco,Paris SG,3,0,13,13,1,0,0,0,0
Angers,Brest,1,0,9,16,1,0,0,0,0
Bordeaux,Montpellier,0,2,32,7,0,2,0,0,0
Lorient,Strasbourg,0,0,9,13,0,0,0,0,0
Rennes,Metz,6,1,21,2,3,0,0,0,0
Reims,Lyon,0,0,5,10,0,0,0,0,0
Marseille,Nice,2,1,13,9,1,0,0,0,0
Lens,Clermont,3,1,20,10,2,1,0,0,0
Nantes,Lille,0,1,11,12,0,1,0,0,0
St Etienne,Troyes,1,1,10,8,0,1,0,0,0
Paris SG,Bordeaux,3,0,12,15,1,0,0,0,0
Angers,Reims,0,1,20,10,0,1,0,0,0
Clermont,Lorient,0,2,10,9,0,0,0,0,0
Metz,Lens,0,0,6,11,0,0,0,0,0
