HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Wolfsburg,Leverkusen,0,2,18,17,0,0,0,0,0
FC Koln,Dortmund,1,1,10,9,1,1,0,0,0
Greuther Furth,Freiburg,0,0,8,13,0,0,0,0,0
Hertha,Hoffenheim,3,0,13,8,1,0,0,0,0
Mainz,Bielefeld,4,0,14,6,1,0,0,0,0
Stuttgart,Augsburg,3,2,24,10,1,2,0,0,0
Bayern Munich,Union Berlin,4,0,16,9,3,0,0,0,0
Bochum,M'gladbach,0,2,15,8,0,0,0,0,0
Mainz,Dortmund,0,1,10,11,0,0,0,0,0
Leverkusen,FC Koln,0,1,15,6,0,0,0,0,0
Dortmund,Bielefeld,1,0,20,11,1,0,0,0,0
Ein Frankfurt,Bochum,2,1,14,8,0,1,0,0,0
Greuther Furth,RB Leipzig,1,6,7,12,1,4,0,0,0
Freiburg,Wolfsburg,3,2,16,11,2,0,0,0,0
Hoffenheim,Bayern Munich,1,1,9,18,1,1,0,0,0
Union Berlin,Stuttgart,1,1,11,11,1,0,0,0,0
M'gladbach,Hertha,2,0,12,12,1,0,0,0,0
FC Koln,Hoffenheim,0,1,10,13,0,0,0,0,0
Bayern Munich,Leverkusen,1,1,20,9,1,1,0,0,0
Bochum,Greuther Furth,2,1,15,9,1,0,0,0,0
Hertha,Ein Frankfurt,1,4,10,12,0,1,0,0,0
RB Leipzig,Freiburg,1,1,14,4,0,1,0,0,0
Wolfsburg,Union Berlin,1,0,9,17,1,0,0,0,0
Stuttgart,M'gladbach,3,2,18,9,1,2,0,0,0
Bielefeld,Augsburg,0,1,6,7,0,0,0,0,0
Bochum,RB Leipzig,0,1,13,6,0,0,0,0,0
Augsburg,Dortmund,1,1,8,11,0,1,0,0,0
Freiburg,Hertha,3,0,16,17,1,0,0,0,0
Greuther Furth,FC Koln,1,1,13,17,0,0,0,0,0
Leverkusen,Bielefeld,3,0,21,8,1,0,0,0,0
M'gladbach,Wolfsburg,2,2,23,6,1,2,0,0,0
Union Berlin,Mainz,3,1,7,14,1,0,0,0,0
Ein Frankfurt,Bayern Munich,0,1,7,20,0,0,0,0,0
Hoffenheim,Stuttgart,2,1,19,13,0,0,0,0,0
Bayern Munich,Greuther Furth,4,1,22,8,0,1,0,0,0
Dortmund,M'gladbach,6,0,16,8,2,0,0,0,0
Hertha,RB Leipzig,1,6,8,16,0,1,0,0,0
Augsburg,Freiburg,1,2,18,15,1,2,0,0,0
Bielefeld,Union Berlin,1,0,11,11,0,0,0,0,0
Stuttgart,Bochum,1,1,15,13,0,0,0,0,0
Wolfsburg,Hoffenheim,1,2,14,10,1,0,0,0,0
FC Koln,Ein Frankfurt,1,0,13,10,0,0,0,0,0
Mainz,Leverkusen,3,2,17,8,0,1,0,0,0
Union Berlin,Dortmund,0,3,12,10,0,2,0,0,0
Hoffenheim,Bielefeld,2,0,25,8,1,0,0,0,0
Bochum,Bayern Munich,4,2,12,22,4,1,0,0,0
Ein Frankfurt,Wolfsburg,0,2,16,11,0,1,0,0,0
Freiburg,Mainz,1,1,16,20,0,1,0,0,0
Greuther Furth,Hertha,2,1,19,24,1,0,0,0,0
M'gladbach,Augsburg,3,2,14,14,1,0,0,0,0
Leverkusen,Stuttgart,4,2,20,8,1,0,0,0,0
RB Leipzig,FC Koln,3,1,6,9,1,0,0,0,0
Dortmund,Leverkusen,2,5,14,10,1,3,0,0,0
Wolfsburg,Greuther Furth,4,1,11,8,1,1,0,0,0
Augsburg,Union Berlin,2,0,14,14,1,0,0,0,0
Bielefeld,M'gladbach,1,1,10,22,1,1,0,0,0
FC Koln,Freiburg,1,0,14,18,1,0,0,0,0
Mainz,Hoffenheim,2,0,9,12,0,0,0,0,0
